,artist,country,birth,death,alive,genx,gender,count,year_acquired_min,year_acquired_max
0,Ad Gerritsen,dutch,1940,2015,False,False,male,1,1981,1981
1,Kirstine Roepstorff,danish,1972,,True,True,female,3,2005,2005
2,Lisa Baumgardner,american,1958,2015,False,False,female,2,2016,2016
3,David Bates,american,1952,,True,False,male,1,2001,2001
4,Simon Levy,american,1946,,True,False,male,1,2012,2012
5,Pierre Mercure,canadian,1927,1966,False,False,male,8,2008,2008
6,Ko Verzuu,dutch,1901,1971,False,False,male,2,2018,2018
7,Shigeyoshi Morioka,japanese,1941,,True,False,male,1,1981,1981
8,William Ross Abrams,american,1920,2007,False,False,male,1,1949,1949
9,Emily Roysdon,american,1977,,True,True,female,5,2013,2013
10,David O. Russell,american,1958,,True,False,male,1,2002,2002
11,David Zink Yi,peruvian,1973,,True,True,male,2,2017,2017
12,Peter Purves-Smith,australian,1913,1949,False,False,male,1,1941,1941
13,Wolfgang von Wersin,german,1882,1976,False,False,male,1,1956,1956
14,Peter Schlumbohm,american,1896,1962,False,False,male,21,1943,2001
15,Robert Cremean,american,1932,,True,False,male,16,1974,1974
16,Michael Vivo,american,1947,1984,False,False,male,1,1978,1978
17,Viktor Pal'mov,,1888,1929,False,False,male,1,2001,2001
18,Caroline Durieux,american,1896,1989,False,False,female,4,1942,1969
19,Heike Baranowsky,german,1967,,True,True,female,1,2004,2004
20,Fernando Vilela,brazilian,1973,,True,True,male,2,2013,2013
21,Roy Colmer,british,1935,2014,False,False,male,4,1986,1987
22,TorbjÃ¸rn RÃ¸dland,norwegian,1970,,True,True,male,3,2018,2018
23,Vincent van Gogh,dutch,1853,1890,False,False,male,6,1940,1998
24,Andrew Foster Bush,american,1956,,True,False,male,1,1983,1983
25,Hermelindo Fiaminghi,brazilian,1920,2004,False,False,male,2,2016,2016
26,Tony Fitzpatrick,american,1958,,True,False,male,2,1993,2005
27,Sally Mann,american,1951,,True,False,female,1,1987,1987
28,Sadie Benning,american,1973,,True,True,non-binary,10,2000,2017
29,Anna Boghiguian,egyptian,1946,,True,False,female,12,2016,2016
30,Heinrich Nauen,german,1880,1941,False,False,male,3,1940,1942
31,Mary E. Frey,american,1948,,True,False,female,9,1985,1993
32,David Bradshaw,american,1944,,True,False,male,1,2014,2014
33,Jun Dobashi,japanese,1910,1975,False,False,male,1,1964,1964
34,Louis De Clercq,french,1836,1901,False,False,male,3,1985,2009
35,Nicholas Dean,american,1933,,True,False,male,1,1997,1997
36,Cecil Stephenson,british,1889,1965,False,False,male,1,1985,1985
37,Charles B. Kaufmann,american,1890,1957,False,False,male,1,1995,1995
38,Yinka Shonibare,british,1962,,True,False,male,8,2002,2018
39,Jacques Villon,french,1875,1963,False,False,male,253,1935,1995
40,Arthur Young,american,1905,1995,False,False,male,1,1984,1984
41,Lew Thomas,american,1932,,True,False,male,5,1978,2014
42,Paul Wonner,american,1920,2008,False,False,male,1,1980,1980
43,Doug Dubois,american,1960,,True,False,male,4,1987,1989
44,Max Almy,american,1948,,True,False,female,1,1984,1984
45,Barbel Scianghetti,american,1939,,True,False,female,1,1991,1991
46,Jim Gaylord,american,1974,,True,True,male,1,2008,2008
47,Pierre Ayot,canadian,1943,1995,False,False,male,1,1967,1967
48,Mario Prassinos,french,1916,1985,False,False,male,53,1948,1965
49,Ronnie Goodman,american,1960,2020,False,False,male,1,2013,2013
50,Edward Zwick,american,1952,,True,False,male,1,2012,2012
51,JosÃ© R. Alicea,american,1928,,True,False,male,4,1964,1967
52,Kathy High,american,1954,,True,False,female,1,1990,1990
53,Julius Thiengen Bloch,american,1888,1966,False,False,male,4,1940,1940
54,Robert Gordy,american,1933,1986,False,False,male,1,1991,1991
55,Karin Sander,german,1957,,True,False,female,7,1994,2019
56,Edward Fella,american,1938,,True,False,male,11,2000,2000
57,Jakob Jack Friedrich Bollschweiler,german,1888,1938,False,False,male,2,1949,1949
58,Russell Limbach,american,1904,1971,False,False,male,1,1940,1940
59,Joe Scorsone,american,1942,,True,False,male,2,1980,1980
60,James Montgomery Flagg,american,1877,1960,False,False,male,7,1940,1967
61,Jean-Baptiste-Camille Corot,french,1796,1875,False,False,male,2,1954,1964
62,Stephen Metts,american,1968,,True,True,male,1,2004,2004
63,Grant T. Reynard,american,1887,1968,False,False,male,1,1940,1940
64,Charles Clifford,british,1819,1863,False,False,male,1,1978,1978
65,Jay McCafferty,american,1948,,True,False,male,1,1981,1981
66,Marco De Valdivia,chilean,1947,,True,False,male,2,1979,1979
67,Gustav Klimt,austrian,1862,1918,False,False,male,11,1955,1979
68,Leander Fornas,american,1925,2014,False,False,male,4,1956,1986
69,Richard Barnes,american,1953,,True,False,male,4,2012,2012
70,John Ahearn,american,1951,,True,False,male,4,2016,2016
71,AmÃ¨rico BalÃ¡n,argentine,1915,1986,False,False,male,1,1969,1969
72,Victor Brauner,romanian,1903,1966,False,False,male,11,1947,1975
73,Rong Rong,chinese,1968,,True,True,male,5,2008,2008
74,Joseph Pollet,american,1897,1979,False,False,male,1,1940,1940
75,Fred Williams,australian,1927,1982,False,False,male,16,1973,1980
76,Charles L. Goeller,american,1901,1955,False,False,male,1,1934,1934
77,Rob Voerman,dutch,1966,,True,True,male,3,2006,2006
78,Mariah Robertson,american,1975,,True,True,female,2,2010,2012
79,Keigo Yamamoto,japanese,1936,,True,False,male,3,1979,1986
80,Werner Knaupp,german,1936,,True,False,male,2,1969,1969
81,Ricardo Basbaum,brazilian,1961,,True,False,male,1,2006,2006
82,Osamu Nagata,japanese,1950,,True,False,male,1,1986,1986
83,Olga Rozanova,russian,1886,1918,False,False,female,211,1974,2001
84,Robert Kozma,american,1951,,True,False,male,1,1990,1990
85,Bernard Tschumi,,1944,,True,False,male,61,1992,2000
86,Pasquale Santoro,italian,1933,,True,False,male,1,1966,1966
87,Carl AubÃ¶ck,austrian,1900,1957,False,False,male,8,1959,2001
88,Ron Herron,british,1930,1994,False,False,male,2,2000,2000
89,Akihiro Kaneko,japanese,1961,,True,False,male,1,2000,2000
90,Gianfredo Camesi,swiss,1940,,True,False,male,6,2007,2007
91,Arthur Secunda,american,1927,,True,False,male,6,1967,1974
92,Andrzej Zborski,polish,1929,,True,False,male,1,2015,2015
93,Amy O'Neill,american,1971,,True,True,female,4,2015,2015
94,Yehudit Sasportas,israeli,1969,,True,True,female,1,2005,2005
95,AndrÃ© Marchand,french,1907,1997,False,False,male,1,1952,1952
96,SanlÃ© Sory,burkinabe,1943,,True,False,male,26,2018,2018
97,Claude Monet,french,1840,1926,False,False,male,5,1956,1992
98,Jean L'Anselme,french,1919,2011,False,False,male,7,1976,1976
99,G. de Latenay,french,1859,1943,False,False,male,1,1958,1958
